[0803/161448.327:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0804/070548.256:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070553.268:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070558.272:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070603.279:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070608.287:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070613.296:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070618.301:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070623.306:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070628.312:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070633.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070638.317:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070643.320:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0804/070646.897:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
